ID_pago,ID_venta,Fecha_pago,Pago
1,1,30/12/15,"266,737.88"
2,2,20/01/16,"243,178.00"
3,3,16/01/16,"89,052.00"
4,4,4/1/2016,"226,931.25"
5,5,5/1/2016,"142,253.00"
6,6,10/1/2016,"119,144.50"
7,7,27/01/16,"50,835.75"
8,8,30/01/16,"269,809.38"
9,9,6/1/2016,"128,047.50"
10,10,17/01/16,"255,346.00"
11,11,28/01/16,"78,383.50"
12,12,23/01/16,"124,916.00"
13,13,14/01/16,"367,162.50"
14,14,28/01/16,"83,087.50"
15,15,17/01/16,"102,542.00"
16,16,23/01/16,"117,245.00"
17,17,15/01/16,"44,855.75"
18,18,16/01/16,"209,950.63"
19,19,2/2/2016,"59,076.88"
20,20,12/1/2016,"146,187.00"
21,21,7/1/2016,"252,624.00"
22,22,25/01/16,"90,944.00"
23,23,11/1/2016,"179,866.13"
24,24,20/01/16,"53,423.75"
25,25,25/01/16,"146,335.50"
26,26,22/01/16,"68,722.50"
27,27,2/2/2016,"82,416.25"
28,28,20/01/16,"207,570.00"
29,29,5/2/2016,"94,196.38"
30,30,13/01/16,"117,384.00"
31,31,13/01/16,"175,671.75"
32,32,31/01/16,"78,418.50"
33,33,7/2/2016,"188,013.75"
34,34,10/2/2016,"310,399.63"
35,35,28/01/16,"224,971.38"
36,36,19/01/16,"131,792.50"
37,37,18/01/16,"145,071.50"
38,38,29/01/16,"186,600.00"
39,39,4/2/2016,"144,372.50"
40,40,24/01/16,"132,223.00"
41,41,9/2/2016,"177,732.50"
42,42,18/01/16,"178,374.00"
43,43,10/2/2016,"72,464.50"
44,44,27/01/16,"192,132.75"
45,45,1/2/2016,"356,382.25"
46,46,19/01/16,"161,756.00"
47,47,1/2/2016,"31,177.25"
48,48,12/2/2016,"182,186.00"
49,49,8/2/2016,"40,210.00"
50,50,11/2/2016,"119,703.13"
51,51,11/2/2016,"71,077.50"
52,52,17/02/16,"200,695.50"
53,53,13/02/16,"179,843.50"
54,54,7/2/2016,"85,874.50"
55,55,16/02/16,"122,904.25"
56,56,6/2/2016,"29,902.50"
57,57,31/01/16,"64,091.25"
58,58,5/2/2016,"285,953.25"
59,59,19/02/16,"171,727.00"
60,60,1/2/2016,"240,030.00"
61,61,12/2/2016,"142,605.00"
62,62,20/02/16,"142,867.25"
63,63,29/01/16,"92,268.00"
64,64,17/02/16,"63,626.25"
65,65,30/01/16,"179,604.00"
66,66,18/02/16,"264,928.00"
67,67,10/2/2016,"118,615.88"
68,68,23/02/16,"47,124.00"
69,69,7/2/2016,"276,551.00"
70,70,9/2/2016,"205,961.88"
