Fecha,ID_local,clave_producto,venta,venta_empleado
08-feb-20,2,pzz,1302,2630867
21-jul-19,2,clz,953,2310967
06-abr-19,4,brr,1286,6931035
17-mar-19,1,brr,889,9922377
10-oct-19,1,qsd,495,2520477
13-jul-19,3,pzz,544,9611338
03-oct-19,4,pzz,1444,6332756
01-ene-20,1,pzz,435,2520477
22-abr-19,1,qsd,1203,9922377
23-oct-19,1,brr,1038,6332756
23-jun-19,1,brr,404,3833745
28-jul-19,1,pzz,1362,5728566
07-mar-20,3,qsd,1054,2310967
16-sep-19,3,clz,303,3833745
01-oct-19,1,brr,871,2520477
17-nov-19,3,brr,1062,5728566
10-ene-20,1,pzz,1376,6332756
19-oct-19,3,pzz,957,2310967
31-ago-19,2,clz,972,2310967
25-mar-19,1,pzz,1455,2310967
05-feb-20,4,qsd,497,5728566
19-nov-19,3,clz,1179,2310967
26-jul-19,1,clz,1686,6332756
10-feb-20,3,pzz,3377,6931035
20-nov-19,1,clz,1119,6931035
22-may-19,2,brr,4045,9922377
29-oct-19,1,brr,5906,2520477
13-jul-19,1,pzz,4058,1111222
26-dic-19,2,qsd,909,1111222
27-jul-19,1,pzz,3508,6931035
27-ago-19,3,clz,3985,6931035
13-jun-19,3,brr,3293,9611338
29-jun-19,3,brr,871,9922377
11-feb-20,3,clz,1946,9611338
08-sep-19,3,clz,1742,5942572
23-dic-19,2,qsd,5386,6332756
01-jun-19,2,brr,4823,9611338
06-dic-19,3,brr,1044,6332756
07-nov-19,4,clz,5385,4245367
01-abr-19,3,pzz,1812,2310967
17-abr-19,4,pzz,2401,4245367
13-feb-20,1,brr,1275,2310967
20-ene-20,4,pzz,2452,2630867
19-ago-19,4,clz,5268,2310967
13-mar-19,4,clz,4012,6931035
16-feb-20,4,brr,3534,2630867
17-nov-19,4,pzz,239,6332756
17-abr-19,2,qsd,5806,1111222
17-oct-19,1,brr,4872,5942572
13-ene-20,2,qsd,1655,1111222
31-dic-19,3,pzz,3155,2630867
04-may-19,2,clz,2901,2630867
09-jul-19,3,brr,4037,2520477
06-may-19,2,clz,3892,1111222
01-mar-19,1,pzz,332,3833745
14-feb-19,2,brr,2268,6332756
28-sep-19,4,brr,5268,2630867
26-feb-20,2,pzz,2772,4245367
02-sep-19,2,brr,4336,6332756
13-sep-19,2,pzz,2648,9611338
23-sep-19,2,brr,1490,4245367
05-feb-19,3,clz,402,2630867
21-dic-19,3,pzz,1143,2310967
15-feb-20,3,qsd,4724,2310967
28-oct-19,4,clz,3822,3833745
03-mar-20,2,clz,2372,9611338
03-ago-19,2,qsd,4270,6332756
14-feb-19,1,clz,2946,1111222
06-jul-19,2,pzz,3621,2520477
16-nov-19,1,qsd,2426,1111222
20-may-19,1,clz,5446,9922377
15-nov-19,4,brr,1330,9922377
15-jul-19,2,qsd,1897,9611338
28-jun-19,4,brr,4048,9611338
02-sep-19,1,clz,5770,9611338
06-sep-19,2,pzz,451,5942572
30-mar-19,4,pzz,5518,2630867
11-nov-19,3,clz,503,6332756
23-ene-20,3,pzz,5366,9611338
24-abr-19,1,brr,4282,1111222
03-ago-19,1,clz,1368,1111222
19-feb-19,1,brr,5695,5942572
19-feb-19,2,brr,1454,2520477
11-mar-19,1,qsd,4106,1111222
27-oct-19,4,clz,5903,2310967
09-sep-19,3,qsd,2314,9922377
22-ene-20,1,qsd,3073,2310967
30-ene-20,4,pzz,979,4245367
28-dic-19,1,qsd,248,9611338
13-jul-19,1,brr,5055,2520477
20-may-19,2,qsd,5234,2310967
13-feb-19,2,qsd,3171,6332756
15-abr-19,3,clz,3214,1111222
12-feb-20,4,clz,4677,5942572
11-dic-19,3,qsd,4916,9922377
18-mar-19,2,qsd,1290,9611338
28-nov-19,3,pzz,4215,5942572
26-feb-19,3,clz,328,5942572
17-jul-19,1,pzz,2319,4245367
26-ene-20,4,pzz,4497,2520477
06-may-19,1,qsd,2418,6332756
01-ene-20,3,brr,4518,9922377
29-oct-19,3,qsd,652,5942572
28-abr-19,4,qsd,1981,2520477
23-abr-19,4,pzz,786,1111222
06-mar-19,3,clz,4677,5942572
13-jun-19,3,pzz,2924,5942572
23-sep-19,2,brr,792,2630867
23-dic-19,2,pzz,960,4245367
27-ago-19,1,pzz,3184,2310967
04-mar-20,2,clz,4846,6931035
21-oct-19,3,qsd,3076,5942572
01-abr-19,4,brr,1938,2630867
11-jul-19,3,clz,695,2520477
06-may-19,4,qsd,3722,3833745
17-jun-19,1,brr,1976,3833745
04-jul-19,4,brr,5029,6332756
31-ene-20,2,qsd,2556,1111222
31-dic-19,1,qsd,2890,2310967
10-jun-19,4,pzz,5293,2630867
22-jun-19,1,qsd,3741,1111222
05-feb-19,3,brr,3792,1111222
26-oct-19,1,clz,2191,6332756
13-abr-19,2,qsd,3603,6332756
11-jul-19,4,clz,395,9611338
25-feb-19,3,brr,4695,9922377
28-ene-20,2,brr,4956,2310967
02-ago-19,4,pzz,2943,4245367
26-mar-19,3,brr,3307,6332756
01-abr-19,1,pzz,2184,2630867
03-oct-19,1,brr,532,6931035
20-oct-19,4,qsd,5911,4245367
05-jul-19,4,pzz,2543,2310967
25-jun-19,4,pzz,447,2630867
10-dic-19,2,pzz,328,9611338
24-ago-19,4,clz,5107,6332756
15-oct-19,4,brr,5154,4245367
07-mar-19,4,brr,2702,4245367
11-sep-19,2,clz,3959,9922377
02-jul-19,2,pzz,3129,5942572
11-feb-20,1,pzz,1746,6332756
01-oct-19,3,brr,1791,2630867
28-ago-19,3,brr,3324,9922377
22-nov-19,4,qsd,1704,2520477
09-mar-20,2,qsd,5829,2310967
30-oct-19,4,pzz,5372,9922377
28-sep-19,2,clz,1921,2310967
28-jul-19,2,brr,5136,9922377
27-jul-19,1,pzz,5207,2520477
30-oct-19,3,pzz,780,3833745
21-dic-19,4,pzz,4435,6931035
17-oct-19,2,clz,1878,2630867
15-mar-19,4,clz,1813,2520477
01-jul-19,4,clz,611,9922377
25-sep-19,4,clz,2040,4245367
02-dic-19,4,pzz,3153,5942572
14-jul-19,3,brr,345,4245367
03-sep-19,1,brr,5880,2310967
14-jun-19,4,clz,2947,2310967
31-ene-20,4,brr,1169,6332756
10-oct-19,3,brr,1505,1111222
04-jun-19,1,pzz,1563,2520477
01-jun-19,2,pzz,2716,6931035
31-mar-19,2,brr,4760,9611338
21-feb-20,2,qsd,853,6332756
28-ene-20,1,qsd,4454,9922377
02-sep-19,1,qsd,1878,3833745
19-oct-19,1,brr,4289,2630867
26-ene-20,4,qsd,5885,2630867
21-jun-19,1,qsd,5168,2630867
29-jul-19,1,brr,5852,1111222
15-may-19,4,clz,5477,6931035
27-dic-19,3,qsd,5973,2520477
19-ago-19,4,qsd,2169,5942572
04-nov-19,4,clz,5605,6931035
